Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Normalized_Name,Sales_Anomaly
4385,Final Fantasy Collection,PS,1999.0,Role-Playing,Square,0.0,0.0,0.42,0.03,0.45,final fantasy collection,Normal
4386,Disney Sing It! High School Musical 3: Senior Year,PS2,2008.0,Misc,Disney Interactive Studios,0.09,0.02,0.0,0.34,0.45,disney sing it high school musical 3 senior year,Normal
4387,NBA Live 10,X360,2009.0,Sports,Electronic Arts,0.4,0.02,0.0,0.03,0.45,nba live 10,Normal
4388,Samurai Warriors: Xtreme Legends,PS2,2004.0,Action,Tecmo Koei,0.04,0.03,0.36,0.01,0.45,samurai warriors xtreme legends,Normal
4389,Tony Hawk's Proving Ground,PS3,2007.0,Sports,Activision,0.36,0.05,0.0,0.05,0.45,tony hawks proving ground,Normal
4390,NHL FaceOff,PS,1994.0,Sports,Sony Computer Entertainment,0.25,0.17,0.0,0.03,0.45,nhl faceoff,Normal
4391,WWE WrestleMania 21,XB,2005.0,Fighting,THQ,0.34,0.1,0.0,0.02,0.45,wwe wrestlemania 21,Normal
4392,Brunswick Pro Bowling,X360,2010.0,Sports,505 Games,0.38,0.04,0.0,0.03,0.45,brunswick pro bowling,Normal
4393,Worms: Open Warfare 2,PSP,2007.0,Strategy,THQ,0.04,0.26,0.0,0.14,0.45,worms open warfare 2,Normal
4394,NBA Live 2005,GC,2004.0,Sports,Electronic Arts,0.35,0.09,0.0,0.01,0.45,nba live 2005,Normal
4395,Defender II,2600,1987.0,Shooter,Atari,0.42,0.02,0.0,0.0,0.45,defender ii,Normal
4396,WWE Day of Reckoning,GC,2004.0,Fighting,THQ,0.35,0.09,0.0,0.01,0.45,wwe day of reckoning,Normal
4397,Dragon Quest Heroes: Rocket Slime,DS,2005.0,Action,Square Enix,0.13,0.0,0.31,0.01,0.45,dragon quest heroes rocket slime,Normal
4398,ATV Quad Power Racing 2,XB,2003.0,Racing,Acclaim Entertainment,0.36,0.07,0.0,0.01,0.45,atv quad power racing 2,Normal
4399,Walt Disney World Quest: Magical Racing Tour,PS,2000.0,Racing,Eidos Interactive,0.25,0.17,0.0,0.03,0.45,walt disney world quest magical racing tour,Normal
4400,Sled Storm,PS2,2002.0,Racing,Electronic Arts,0.22,0.17,0.0,0.06,0.45,sled storm,Normal
4401,Vandal Hearts,PS,1996.0,Role-Playing,Konami Digital Entertainment,0.14,0.09,0.19,0.03,0.45,vandal hearts,Normal
4402,Mario Tennis Ultra Smash,WIIU,2015.0,Sports,Nintendo,0.13,0.16,0.13,0.03,0.45,mario tennis ultra smash,Normal
4403,Celebrity Sports Showdown,WII,2008.0,Sports,Electronic Arts,0.18,0.22,0.0,0.05,0.45,celebrity sports showdown,Normal
4404,Jawbreaker,2600,1981.0,Action,Tigervision,0.42,0.03,0.0,0.0,0.45,jawbreaker,Normal
4405,Scooby-Doo! Mystery Mayhem,PS2,2004.0,Action,THQ,0.22,0.17,0.0,0.06,0.45,scoobydoo mystery mayhem,Normal
4406,Mario Golf: Advance Tour,GBA,2004.0,Sports,Nintendo,0.32,0.12,0.0,0.01,0.45,mario golf advance tour,Normal
4407,Crash: Mind Over Mutant,PSP,2008.0,Platform,Vivendi Games,0.11,0.22,0.0,0.12,0.45,crash mind over mutant,Normal
4408,Karaoke Revolution,WII,2009.0,Misc,Konami Digital Entertainment,0.24,0.16,0.0,0.04,0.45,karaoke revolution,Normal
4409,Discovery Kids: Kitten Corner,DS,2009.0,Simulation,505 Games,0.42,0.0,0.0,0.03,0.45,discovery kids kitten corner,Normal
4410,Just Dance 2014,XONE,2013.0,Misc,Ubisoft,0.3,0.11,0.0,0.04,0.45,just dance 2014,Normal
4411,Yu-Gi-Oh! Capsule Monster Coliseum,PS2,2004.0,Misc,Konami Digital Entertainment,0.22,0.17,0.0,0.06,0.44,yugioh capsule monster coliseum,Normal
4412,Payday 2,PS3,2013.0,Shooter,505 Games,0.21,0.15,0.0,0.08,0.44,payday 2,Normal
4413,Major League Baseball 2K6,PS2,2006.0,Sports,Spike,0.37,0.01,0.0,0.06,0.44,major league baseball 2k6,Normal
4414,Jampack Volume 13 (RP-M),PS2,2005.0,Misc,Sony Computer Entertainment,0.37,0.01,0.0,0.06,0.44,jampack volume 13 rpm,Normal
4415,World Soccer Winning Eleven 9,XB,2005.0,Sports,Konami Digital Entertainment,0.06,0.33,0.02,0.03,0.44,world soccer winning eleven 9,Normal
4416,NBA Live 2000,N64,1999.0,Sports,Electronic Arts,0.42,0.02,0.0,0.0,0.44,nba live 2000,Normal
4417,Teenage Mutant Ninja Turtles 2: Battle Nexus,PS2,2004.0,Action,Konami Digital Entertainment,0.22,0.17,0.0,0.06,0.44,teenage mutant ninja turtles 2 battle nexus,Normal
4418,"SpongeBob SquarePants: Lights, Camera, Pants!",PS2,2005.0,Misc,THQ,0.37,0.01,0.0,0.06,0.44,spongebob squarepants lights camera pants,Normal
4419,Disney Infinity 3.0,X360,2015.0,Action,Disney Interactive Studios,0.19,0.21,0.0,0.04,0.44,disney infinity 30,Normal
4420,TouchMaster 3,DS,2009.0,Puzzle,Warner Bros. Interactive Entertainment,0.3,0.11,0.0,0.04,0.44,touchmaster 3,Normal
4421,The Thing,PS2,2002.0,Adventure,Vivendi Games,0.22,0.17,0.0,0.06,0.44,the thing,Normal
4422,Disney Infinity 3.0,WIIU,2015.0,Action,Disney Interactive Studios,0.2,0.21,0.0,0.04,0.44,disney infinity 30,Normal
4423,Van Helsing,PS2,2004.0,Action,Activision,0.22,0.17,0.0,0.06,0.44,van helsing,Normal
4424,X-Men Legends II: Rise of Apocalypse,XB,2005.0,Role-Playing,Activision,0.3,0.12,0.0,0.02,0.44,xmen legends ii rise of apocalypse,Normal
4425,Food Network: Cook or Be Cooked,WII,2009.0,Misc,Namco Bandai Games,0.41,0.0,0.0,0.03,0.44,food network cook or be cooked,Normal
4426,Transformers: Fall of Cybertron,X360,2012.0,Action,Activision,0.28,0.13,0.0,0.04,0.44,transformers fall of cybertron,Normal
4427,Metro: Last Light,PS3,2013.0,Action,Deep Silver,0.14,0.2,0.03,0.08,0.44,metro last light,Normal
4428,The Urbz: Sims in the City (all regions sales),DS,2004.0,Simulation,Electronic Arts,0.4,0.01,0.02,0.0,0.44,the urbz sims in the city all regions sales,Normal
4429,Spawn: Armageddon,PS2,2003.0,Action,Electronic Arts,0.22,0.17,0.0,0.06,0.44,spawn armageddon,Normal
4430,The Godfather (US sales),XB,2006.0,Action,Electronic Arts,0.33,0.1,0.0,0.02,0.44,the godfather us sales,Normal
4431,DmC: Devil May Cry,X360,2013.0,Action,Capcom,0.26,0.13,0.01,0.04,0.44,dmc devil may cry,Normal
4432,Plants vs. Zombies: Garden Warfare 2,XONE,2016.0,Shooter,Electronic Arts,0.26,0.15,0.0,0.04,0.44,plants vs zombies garden warfare 2,Normal
4433,World Stadium EX,PS,1996.0,Sports,Namco Bandai Games,0.0,0.0,0.41,0.03,0.44,world stadium ex,Normal
4434,Tiger Woods PGA Tour 2003,XB,2002.0,Sports,Electronic Arts,0.35,0.08,0.0,0.01,0.44,tiger woods pga tour 2003,Normal
4435,Battlefield 2: Modern Combat,PS2,2005.0,Shooter,Electronic Arts,0.37,0.01,0.0,0.06,0.44,battlefield 2 modern combat,Normal
4436,G-Force,WII,2009.0,Action,Disney Interactive Studios,0.19,0.2,0.0,0.05,0.44,gforce,Normal
4437,Ben 10 Alien Force: Vilgax Attacks,WII,2009.0,Action,D3Publisher,0.25,0.15,0.0,0.04,0.44,ben 10 alien force vilgax attacks,Normal
4438,50 Cent: Bulletproof,XB,2005.0,Action,Vivendi Games,0.33,0.1,0.0,0.02,0.44,50 cent bulletproof,Normal
4439,Densetsu no Stafi 2,GBA,2003.0,Platform,Nintendo,0.0,0.0,0.43,0.01,0.44,densetsu no stafi 2,Normal
4440,Independence Day,PS,1997.0,Shooter,Fox Interactive,0.25,0.17,0.0,0.03,0.44,independence day,Normal
4441,Need for Speed: Shift 2 Unleashed,X360,2011.0,Racing,Electronic Arts,0.18,0.22,0.0,0.04,0.44,need for speed shift 2 unleashed,Normal
4442,Chocobo Racing,PS,1999.0,Racing,SquareSoft,0.07,0.05,0.3,0.03,0.44,chocobo racing,Normal
4443,Ninja Gaiden 3,PS3,2012.0,Action,Tecmo Koei,0.19,0.1,0.11,0.05,0.44,ninja gaiden 3,Normal
4444,Child of Eden,X360,2011.0,Shooter,Ubisoft,0.28,0.12,0.0,0.04,0.44,child of eden,Normal
4445,LEGO Star Wars II: The Original Trilogy,XB,2006.0,Action,LucasArts,0.33,0.1,0.0,0.02,0.44,lego star wars ii the original trilogy,Normal
4446,Family Fest Presents Circus Games,WII,2008.0,Misc,Ubisoft,0.1,0.29,0.0,0.05,0.44,family fest presents circus games,Normal
4447,My Spanish Coach,DS,2007.0,Misc,Ubisoft,0.4,0.01,0.0,0.03,0.44,my spanish coach,Normal
4448,The Darkness,X360,2007.0,Shooter,Take-Two Interactive,0.36,0.04,0.01,0.04,0.44,the darkness,Normal
4449,Gundam SEED: Federation vs. Z.A.F.T.,PS2,2005.0,Shooter,Namco Bandai Games,0.0,0.0,0.44,0.0,0.44,gundam seed federation vs zaft,Normal
4450,Ms. Pac-Man Maze Madness,PS,2000.0,Puzzle,Namco Bandai Games,0.25,0.17,0.0,0.03,0.44,ms pacman maze madness,Normal
4451,Blood Omen: Legacy of Kain,PS,1996.0,Role-Playing,Crystal Dynamics,0.25,0.17,0.0,0.03,0.44,blood omen legacy of kain,Normal
4452,Super Bomberman 4,SNES,1996.0,Puzzle,Hudson Soft,0.0,0.0,0.44,0.0,0.44,super bomberman 4,Normal
4453,Bomberman II,NES,1991.0,Puzzle,Hudson Soft,0.16,0.03,0.15,0.1,0.44,bomberman ii,Normal
4454,Duke Nukem 64,N64,1997.0,Shooter,GT Interactive,0.35,0.08,0.0,0.01,0.44,duke nukem 64,Normal
4455,Sin and Punishment: Star Successor,WII,2009.0,Shooter,Nintendo,0.2,0.14,0.06,0.04,0.44,sin and punishment star successor,Normal
4456,Jump Start Pet Rescue,WII,2009.0,Misc,Knowledge Adventure,0.41,0.0,0.0,0.03,0.44,jump start pet rescue,Normal
4457,Naughty Bear,PS3,2010.0,Action,505 Games,0.18,0.18,0.0,0.07,0.44,naughty bear,Normal
4458,"SpongeBob SquarePants: Lights, Camera, Pants!",GC,2005.0,Misc,THQ,0.34,0.09,0.0,0.01,0.44,spongebob squarepants lights camera pants,Normal
4459,Super Robot Taisen OG: Original Generations,PS2,2007.0,Strategy,Banpresto,0.0,0.0,0.44,0.0,0.44,super robot taisen og original generations,Normal
4460,Army Men World War: Final Front,PS,2001.0,Action,3DO,0.24,0.17,0.0,0.03,0.44,army men world war final front,Normal
4461,Petz: Horsez 2,DS,2007.0,Simulation,Ubisoft,0.41,0.0,0.0,0.03,0.44,petz horsez 2,Normal
4462,Puppy Luv: Spa and Resort,DS,2007.0,Simulation,Activision,0.4,0.0,0.0,0.03,0.44,puppy luv spa and resort,Normal
4463,Yu-Gi-Oh! 5D's Tag Force 4,PSP,2009.0,Strategy,Konami Digital Entertainment,0.19,0.07,0.12,0.06,0.44,yugioh 5ds tag force 4,Normal
4464,MX Unleashed,XB,2004.0,Racing,THQ,0.34,0.08,0.0,0.02,0.44,mx unleashed,Normal
4465,Jikkyou Powerful Pro Yakyuu 9,PS2,2002.0,Sports,Konami Digital Entertainment,0.0,0.0,0.44,0.0,0.44,jikkyou powerful pro yakyuu 9,Normal
4466,Grind Session,PS,2000.0,Sports,Sony Computer Entertainment,0.24,0.17,0.0,0.03,0.44,grind session,Normal
4467,Naruto: Gekito Ninja Taisen! 3,GC,2004.0,Fighting,Tomy Corporation,0.0,0.0,0.43,0.01,0.44,naruto gekito ninja taisen 3,Normal
4468,Barbie: Groom and Glam Pups,DS,2010.0,Action,THQ,0.26,0.14,0.0,0.04,0.44,barbie groom and glam pups,Normal
4469,Wario World,GC,2003.0,Platform,Nintendo,0.34,0.09,0.0,0.01,0.44,wario world,Normal
4470,Scooby-Doo! Mystery Mayhem,GBA,2003.0,Action,THQ,0.31,0.12,0.0,0.01,0.44,scoobydoo mystery mayhem,Normal
4471,Super Breakout,2600,,Puzzle,Atari,0.41,0.03,0.0,0.0,0.44,super breakout,Normal
4472,Taiko no Tatsujin: Doki! Shinkyoku Darake no Haru Matsuri,PS2,2003.0,Misc,Namco Bandai Games,0.0,0.0,0.44,0.0,0.44,taiko no tatsujin doki shinkyoku darake no haru matsuri,Normal
4473,Deer Drive,DS,2010.0,Sports,Mastiff,0.41,0.0,0.0,0.02,0.44,deer drive,Normal
4474,Robert Ludlum's The Bourne Conspiracy,X360,,Action,Vivendi Games,0.26,0.14,0.0,0.04,0.44,robert ludlums the bourne conspiracy,Normal
4475,Just Dance 4,PS3,2012.0,Misc,Ubisoft,0.26,0.12,0.0,0.06,0.44,just dance 4,Normal
4476,TimeSplitters 2,GC,2002.0,Shooter,Eidos Interactive,0.34,0.09,0.0,0.01,0.44,timesplitters 2,Normal
4477,Battlebots: Design & Destroy,GBA,2003.0,Action,Majesco Entertainment,0.31,0.12,0.0,0.01,0.44,battlebots design destroy,Normal
4478,Devil May Cry HD Collection,X360,2012.0,Action,Capcom,0.28,0.11,0.01,0.03,0.44,devil may cry hd collection,Normal
4479,Eternal Darkness: Sanity's Requiem,GC,2002.0,Adventure,Nintendo,0.34,0.09,0.0,0.01,0.44,eternal darkness sanitys requiem,Normal
4480,Power Rangers: S.P.D.,GBA,2004.0,Action,THQ,0.31,0.12,0.0,0.01,0.44,power rangers spd,Normal
4481,Naruto: Ultimate Ninja 3,PS2,2005.0,Fighting,Atari,0.36,0.01,0.0,0.06,0.44,naruto ultimate ninja 3,Normal
4482,SingStar Motown,PS2,2009.0,Misc,Sony Computer Entertainment,0.0,0.06,0.0,0.38,0.44,singstar motown,Normal
4483,Neon Genesis Evangelion,SAT,1996.0,Adventure,Sega,0.0,0.0,0.44,0.0,0.44,neon genesis evangelion,Normal
4484,Nicktoons: Attack of the Toybots,WII,2007.0,Platform,THQ,0.4,0.0,0.0,0.03,0.44,nicktoons attack of the toybots,Normal
4485,Mobile Suit Gundam: One Year War,PS2,2005.0,Action,Namco Bandai Games,0.0,0.0,0.44,0.0,0.44,mobile suit gundam one year war,Normal
4486,Tongari Boushi to Mahou no Otana,DS,2010.0,Simulation,Konami Digital Entertainment,0.0,0.0,0.44,0.0,0.44,tongari boushi to mahou no otana,Normal
4487,NFL Blitz 20-03,PS2,2002.0,Sports,Midway Games,0.21,0.17,0.0,0.06,0.44,nfl blitz 2003,Normal
4488,Just Dance: Summer Party,WII,2011.0,Misc,Ubisoft,0.41,0.0,0.0,0.03,0.44,just dance summer party,Normal
4489,SpongeBob's Atlantis SquarePantis,PS2,2007.0,Action,THQ,0.36,0.01,0.0,0.06,0.44,spongebobs atlantis squarepantis,Normal
4490,Dragon Ball Z: Shin Budokai - Another Road,PSP,2007.0,Fighting,Atari,0.19,0.09,0.08,0.07,0.44,dragon ball z shin budokai another road,Normal
4491,Master of Illusion,DS,2006.0,Puzzle,Nintendo,0.16,0.0,0.26,0.01,0.44,master of illusion,Normal
4492,Star Wars: Jedi Starfighter,XB,2002.0,Simulation,Activision,0.35,0.07,0.0,0.02,0.44,star wars jedi starfighter,Normal
4493,Remington Great American Bird Hunt,WII,2009.0,Sports,Mastiff,0.41,0.0,0.0,0.03,0.44,remington great american bird hunt,Normal
4494,Classic NES Series: Metroid,GBA,2004.0,Adventure,Nintendo,0.26,0.1,0.07,0.01,0.43,classic nes series metroid,Normal
4495,Alpha Protocol,PS3,2010.0,Role-Playing,Sega,0.19,0.18,0.0,0.07,0.43,alpha protocol,Normal
4496,Tetris Axis,3DS,2011.0,Puzzle,Tetris Online,0.2,0.13,0.06,0.03,0.43,tetris axis,Normal
4497,Dora the Explorer: Dora Puppy,DS,2009.0,Misc,Take-Two Interactive,0.39,0.01,0.0,0.03,0.43,dora the explorer dora puppy,Normal
4498,Primal,PS2,2003.0,Action,Sony Computer Entertainment,0.21,0.17,0.0,0.06,0.43,primal,Normal
4499,Madden NFL 2002,N64,2001.0,Sports,Electronic Arts,0.41,0.02,0.0,0.0,0.43,madden nfl 2002,Normal
4500,Need for Speed Underground 2,GBA,2004.0,Racing,Electronic Arts,0.31,0.12,0.0,0.01,0.43,need for speed underground 2,Normal
4501,007: Quantum of Solace,PS2,2008.0,Action,Activision,0.17,0.0,0.0,0.26,0.43,007 quantum of solace,Normal
4502,Spec Ops: Covert Assault,PS,2001.0,Shooter,Take-Two Interactive,0.24,0.16,0.0,0.03,0.43,spec ops covert assault,Normal
4503,SSX Tricky,XB,2001.0,Sports,Electronic Arts,0.32,0.09,0.0,0.02,0.43,ssx tricky,Normal
4504,Flight Control Rocket,GBA,2005.0,Simulation,THQ,0.31,0.12,0.0,0.01,0.43,flight control rocket,Normal
4505,FIFA 14,PC,2013.0,Sports,Electronic Arts,0.01,0.36,0.0,0.06,0.43,fifa 14,Normal
4506,"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",PS2,2005.0,Action,Disney Interactive Studios,0.36,0.01,0.0,0.06,0.43,the chronicles of narnia the lion the witch and the wardrobe,Normal
4507,Trials Fusion,PS4,2014.0,Racing,Ubisoft,0.13,0.21,0.01,0.08,0.43,trials fusion,Normal
4508,Wheel of Fortune,DS,2010.0,Misc,THQ,0.41,0.0,0.0,0.03,0.43,wheel of fortune,Normal
4509,NiGHTS into dreams...,SAT,1996.0,Platform,Sega,0.0,0.0,0.43,0.0,0.43,nights into dreams,Normal
4510,NCAA Football 2004,XB,2003.0,Sports,Electronic Arts,0.4,0.02,0.0,0.02,0.43,ncaa football 2004,Normal
4511,Overwatch,PC,2016.0,Shooter,Activision,0.22,0.18,0.0,0.04,0.43,overwatch,Normal
4512,Rock Band 4,XONE,2015.0,Misc,Harmonix Music Systems,0.35,0.04,0.0,0.04,0.43,rock band 4,Normal
4513,NBA Jam,WII,2010.0,Sports,Electronic Arts,0.38,0.03,0.0,0.03,0.43,nba jam,Normal
4514,Bionicle,PS2,2003.0,Action,Electronic Arts,0.21,0.17,0.0,0.06,0.43,bionicle,Normal
4515,Minecraft,WIIU,2016.0,Misc,Microsoft Game Studios,0.18,0.09,0.14,0.03,0.43,minecraft,Normal
4516,MLB 2002,PS,2001.0,Sports,Sony Computer Entertainment,0.24,0.16,0.0,0.03,0.43,mlb 2002,Normal
4517,Sleeping Dogs,PS4,2014.0,Action,Square Enix,0.16,0.2,0.0,0.07,0.43,sleeping dogs,Normal
4518,TimeSplitters,PS2,2000.0,Shooter,Eidos Interactive,0.21,0.17,0.0,0.06,0.43,timesplitters,Normal
4519,Barnstorming,2600,1981.0,Action,Activision,0.4,0.02,0.0,0.0,0.43,barnstorming,Normal
4520,InuYasha: The Secret of the Cursed Mask,PS2,2004.0,Role-Playing,Namco Bandai Games,0.21,0.17,0.0,0.06,0.43,inuyasha the secret of the cursed mask,Normal
4521,Rune Factory 3: A Fantasy Harvest Moon,DS,2009.0,Role-Playing,Rising Star Games,0.28,0.03,0.1,0.02,0.43,rune factory 3 a fantasy harvest moon,Normal
4522,The Powerpuff Girls: Him and Seek,GBA,2002.0,Platform,BAM! Entertainment,0.31,0.11,0.0,0.01,0.43,the powerpuff girls him and seek,Normal
4523,Mega Man Zero 2,GBA,2003.0,Platform,Capcom,0.18,0.07,0.17,0.01,0.43,mega man zero 2,Normal
4524,Wonder Project J: Kikai no Shonen Pino,SNES,1994.0,Simulation,Enix Corporation,0.0,0.0,0.43,0.0,0.43,wonder project j kikai no shonen pino,Normal
4525,2010 FIFA World Cup South Africa,WII,2010.0,Sports,Electronic Arts,0.23,0.15,0.01,0.04,0.43,2010 fifa world cup south africa,Normal
4526,Atelier Totori: The Adventurer of Arland,PS3,2010.0,Role-Playing,Nippon Ichi Software,0.12,0.07,0.21,0.03,0.43,atelier totori the adventurer of arland,Normal
4527,Spec Ops: The Line,X360,2012.0,Shooter,Take-Two Interactive,0.21,0.19,0.0,0.04,0.43,spec ops the line,Normal
4528,The Fairly Odd Parents: Game Boy Advance Video Volume 1,GBA,2004.0,Misc,Unknown,0.31,0.11,0.0,0.01,0.43,the fairly odd parents game boy advance video volume 1,Normal
4529,Ghostbusters: The Video Game,PS2,2009.0,Action,Atari,0.15,0.04,0.0,0.24,0.43,ghostbusters the video game,Normal
4530,Hunter: The Reckoning  Wayward,PS2,2003.0,Action,Interplay,0.21,0.16,0.0,0.06,0.43,hunter the reckoning wayward,Normal
4531,How to Train Your Dragon,WII,2010.0,Action,Activision,0.24,0.15,0.0,0.04,0.43,how to train your dragon,Normal
4532,Command & Conquer 3: Tiberium Wars,X360,2007.0,Strategy,Electronic Arts,0.35,0.05,0.0,0.03,0.43,command conquer 3 tiberium wars,Normal
4533,WipEout 64,N64,1998.0,Racing,Midway Games,0.28,0.14,0.0,0.01,0.43,wipeout 64,Normal
4534,Mischief Makers,N64,1997.0,Platform,Nintendo,0.25,0.06,0.07,0.06,0.43,mischief makers,Normal
4535,Max Payne 3,PC,2012.0,Shooter,Take-Two Interactive,0.15,0.22,0.0,0.06,0.43,max payne 3,Normal
4536,Petz Bunnyz,DS,2008.0,Simulation,Ubisoft,0.39,0.01,0.0,0.03,0.43,petz bunnyz,Normal
4537,Castlevania: Portrait of Ruin,DS,2006.0,Platform,Konami Digital Entertainment,0.33,0.03,0.04,0.03,0.43,castlevania portrait of ruin,Normal
4538,NHL Slapshot,WII,,Sports,Unknown,0.4,0.0,0.0,0.02,0.43,nhl slapshot,Normal
4539,EyeToy: AntiGrav,PS2,2004.0,Sports,Sony Computer Entertainment,0.36,0.01,0.0,0.06,0.43,eyetoy antigrav,Normal
4540,FIFA 14,WII,2013.0,Sports,Electronic Arts,0.0,0.38,0.0,0.05,0.43,fifa 14,Normal
4541,EverQuest Online Adventures,PS2,2003.0,Role-Playing,Sony Online Entertainment,0.21,0.16,0.0,0.05,0.43,everquest online adventures,Normal
4542,Cool Boarders,PS,1996.0,Sports,Sony Computer Entertainment,0.1,0.07,0.24,0.03,0.43,cool boarders,Normal
4543,"999: Nine Hours, Nine Persons, Nine Doors",DS,2009.0,Adventure,ChunSoft,0.37,0.0,0.03,0.03,0.43,999 nine hours nine persons nine doors,Normal
4544,Mobile Suit Gundam: Zeonic Front,PS2,2001.0,Simulation,Namco Bandai Games,0.09,0.07,0.25,0.02,0.43,mobile suit gundam zeonic front,Normal
4545,Zone of the Enders HD Collection,PS3,2012.0,Simulation,Konami Digital Entertainment,0.21,0.08,0.09,0.05,0.43,zone of the enders hd collection,Normal
4546,Def Jam Icon,PS3,2007.0,Action,Electronic Arts,0.16,0.19,0.0,0.08,0.43,def jam icon,Normal
4547,Tales of the World: Radiant Mythology,PSP,2006.0,Role-Playing,Ubisoft,0.17,0.01,0.23,0.02,0.43,tales of the world radiant mythology,Normal
4548,Monopoly,PS2,2008.0,Misc,Electronic Arts,0.21,0.16,0.0,0.05,0.43,monopoly,Normal
4549,Dawn of Mana,PS2,2006.0,Role-Playing,Square Enix,0.07,0.05,0.29,0.02,0.43,dawn of mana,Normal
4550,Microsoft Flight Simulator X,PC,2006.0,Simulation,Microsoft Game Studios,0.02,0.34,0.0,0.07,0.43,microsoft flight simulator x,Normal
4551,Lego Batman 3: Beyond Gotham,XONE,2014.0,Action,Warner Bros. Interactive Entertainment,0.23,0.17,0.0,0.04,0.43,lego batman 3 beyond gotham,Normal
4552,Madden NFL 2003,GC,2002.0,Sports,Electronic Arts,0.33,0.09,0.0,0.01,0.43,madden nfl 2003,Normal
4553,NASCAR Kart Racing,WII,2009.0,Racing,Electronic Arts,0.39,0.0,0.0,0.03,0.43,nascar kart racing,Normal
4554,Disney Sing It,X360,2008.0,Misc,Disney Interactive Studios,0.39,0.01,0.0,0.03,0.43,disney sing it,Normal
4555,Backyard Baseball,GBA,2002.0,Sports,Atari,0.31,0.11,0.0,0.01,0.43,backyard baseball,Normal
4556,Call of Duty: Black Ops II,WIIU,2012.0,Shooter,Activision,0.21,0.18,0.0,0.03,0.43,call of duty black ops ii,Normal
4557,TRON: Evolution,PS3,2010.0,Action,Disney Interactive Studios,0.27,0.1,0.0,0.05,0.43,tron evolution,Normal
4558,Midway Arcade Treasures,XB,2003.0,Misc,Midway Games,0.33,0.08,0.0,0.01,0.43,midway arcade treasures,Normal
4559,Call of Duty: Modern Warfare: Mobilized,DS,2009.0,Shooter,Activision,0.37,0.02,0.0,0.03,0.43,call of duty modern warfare mobilized,Normal
4560,Petz: Horsez 2,WII,2007.0,Simulation,Ubisoft,0.39,0.0,0.0,0.03,0.43,petz horsez 2,Normal
4561,The Smurfs,DS,2011.0,Action,Ubisoft,0.24,0.14,0.0,0.04,0.43,the smurfs,Normal
4562,Bakugan: Battle Brawlers,PS2,2009.0,Action,Activision,0.21,0.16,0.0,0.05,0.43,bakugan battle brawlers,Normal
4563,NHL FaceOff 99,PS,1997.0,Sports,989 Studios,0.24,0.16,0.0,0.03,0.43,nhl faceoff 99,Normal
4564,Skylanders: Trap Team,PS4,2014.0,Action,Activision,0.18,0.17,0.0,0.07,0.43,skylanders trap team,Normal
4565,SEGA Classics Collection,PS2,2005.0,Misc,Sega,0.21,0.16,0.0,0.05,0.43,sega classics collection,Normal
4566,Pirates of the Caribbean: At World's End,PSP,2007.0,Action,Disney Interactive Studios,0.15,0.17,0.0,0.1,0.43,pirates of the caribbean at worlds end,Normal
4567,Juiced: Eliminator,PSP,2006.0,Racing,THQ,0.11,0.2,0.0,0.12,0.43,juiced eliminator,Normal
4568,Naruto: Ninja Council 3,DS,2006.0,Action,D3Publisher,0.39,0.0,0.0,0.03,0.42,naruto ninja council 3,Normal
4569,Neon Genesis Evangelion 2nd Impression,SAT,1997.0,Role-Playing,Sega,0.0,0.0,0.42,0.0,0.42,neon genesis evangelion 2nd impression,Normal
4570,Dai-2-Ji Super Robot Taisen Z: Hakai-hen,PSP,2011.0,Strategy,Banpresto,0.0,0.0,0.42,0.0,0.42,dai2ji super robot taisen z hakaihen,Normal
4571,NBA Street,GC,2002.0,Sports,Electronic Arts,0.33,0.09,0.0,0.01,0.42,nba street,Normal
4572,Ben 10 Alien Force: Vilgax Attacks,DS,2009.0,Action,D3Publisher,0.22,0.16,0.0,0.04,0.42,ben 10 alien force vilgax attacks,Normal
4573,Ben 10 Alien Force: Vilgax Attacks,PSP,2009.0,Action,D3Publisher,0.13,0.19,0.0,0.11,0.42,ben 10 alien force vilgax attacks,Normal
4574,Valkyrie Profile: Covenant of the Plume,DS,2008.0,Role-Playing,Square Enix,0.23,0.02,0.16,0.02,0.42,valkyrie profile covenant of the plume,Normal
4575,The Legend of Spyro: The Eternal Night,PS2,2007.0,Platform,Vivendi Games,0.21,0.16,0.0,0.05,0.42,the legend of spyro the eternal night,Normal
4576,Mega Man Battle Network,GBA,2001.0,Role-Playing,Capcom,0.14,0.05,0.22,0.01,0.42,mega man battle network,Normal
4577,LEGO Rock Band,PS3,2009.0,Misc,Warner Bros. Interactive Entertainment,0.24,0.13,0.0,0.06,0.42,lego rock band,Normal
4578,25 to Life,PS2,2006.0,Shooter,Eidos Interactive,0.35,0.01,0.0,0.06,0.42,25 to life,Normal
4579,NHL 2K6,PS2,2005.0,Sports,Take-Two Interactive,0.21,0.16,0.0,0.05,0.42,nhl 2k6,Normal
4580,Medal of Honor: Rising Sun,GC,2003.0,Shooter,Electronic Arts,0.33,0.09,0.0,0.01,0.42,medal of honor rising sun,Normal
4581,The Sims,XB,2003.0,Simulation,Electronic Arts,0.31,0.1,0.0,0.01,0.42,the sims,Normal
4582,Guitar Hero: Smash Hits,X360,2009.0,Misc,Activision,0.23,0.15,0.0,0.04,0.42,guitar hero smash hits,Normal
