Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Normalized_Name,Regional_Total,NA_Share,EU_Share,JP_Share,Other_Share,Dominant_Region,Dominant_Region_Share,Regional_Anomaly
1260,Madden NFL 2001,PS2,2000.0,Sports,Electronic Arts,1.19,0.07,0.05,0.2,1.5,madden nfl 2001,1.51,0.7880794701986754,0.046357615894039736,0.033112582781456956,0.13245033112582782,North America,0.7880794701986754,Regionally Concentrated
1261,WWF No Mercy,N64,2000.0,Fighting,THQ,1.2,0.27,0.02,0.02,1.5,wwf no mercy,1.51,0.7947019867549668,0.17880794701986755,0.013245033112582781,0.013245033112582781,North America,0.7947019867549668,Regionally Concentrated
1262,Ice Climber,NES,1985.0,Platform,Nintendo,0.46,0.1,0.92,0.02,1.5,ice climber,1.5,0.3066666666666667,0.06666666666666667,0.6133333333333334,0.013333333333333334,Japan,0.6133333333333334,Normal
1263,Sonic CD,SCD,1993.0,Platform,Sega,1.0,0.36,0.09,0.05,1.5,sonic cd,1.5,0.6666666666666666,0.24,0.06,0.03333333333333333,North America,0.6666666666666666,Normal
1264,Ninja Hattori Kun: Ninja wa Shuugyou Degogiru no Maki,NES,1986.0,Platform,Hudson Soft,0.0,0.0,1.5,0.0,1.5,ninja hattori kun ninja wa shuugyou degogiru no maki,1.5,0.0,0.0,1.0,0.0,Japan,1.0,Regionally Concentrated
1265,Dead Rising 2,X360,2010.0,Action,Capcom,0.75,0.53,0.09,0.12,1.5,dead rising 2,1.4900000000000002,0.5033557046979865,0.35570469798657717,0.06040268456375838,0.08053691275167783,North America,0.5033557046979865,Normal
1266,Rock Band 2,PS3,2008.0,Misc,MTV Games,1.13,0.2,0.0,0.16,1.5,rock band 2,1.4899999999999998,0.7583892617449665,0.13422818791946312,0.0,0.1073825503355705,North America,0.7583892617449665,Regionally Concentrated
1267,Pac-Man World,PS,1998.0,Action,Namco Bandai Games,1.21,0.14,0.1,0.04,1.5,pacman world,1.4900000000000002,0.8120805369127515,0.09395973154362415,0.06711409395973154,0.026845637583892613,North America,0.8120805369127515,Regionally Concentrated
1268,Disney Sing It: Pop Hits,WII,2009.0,Misc,Disney Interactive Studios,1.08,0.28,0.0,0.13,1.49,disney sing it pop hits,1.4900000000000002,0.7248322147651006,0.1879194630872483,0.0,0.08724832214765099,North America,0.7248322147651006,Normal
1269,Final Fantasy: Crystal Chronicles,GC,2003.0,Role-Playing,Nintendo,0.72,0.38,0.36,0.04,1.49,final fantasy crystal chronicles,1.5,0.48,0.25333333333333335,0.24,0.02666666666666667,North America,0.48,Normal
1270,Medal of Honor: Frontline,XB,2002.0,Shooter,Electronic Arts,1.0,0.43,0.0,0.06,1.49,medal of honor frontline,1.49,0.6711409395973155,0.2885906040268456,0.0,0.040268456375838924,North America,0.6711409395973155,Normal
1271,Madden NFL 09,PS2,2008.0,Sports,Electronic Arts,1.22,0.0,0.0,0.27,1.49,madden nfl 09,1.49,0.8187919463087249,0.0,0.0,0.18120805369127518,North America,0.8187919463087249,Regionally Concentrated
1272,Drawn To Life: SpongeBob SquarePants Edition,DS,2008.0,Adventure,THQ,1.0,0.36,0.0,0.13,1.49,drawn to life spongebob squarepants edition,1.4899999999999998,0.6711409395973156,0.2416107382550336,0.0,0.08724832214765102,North America,0.6711409395973156,Normal
1273,Banjo-Tooie,N64,2000.0,Platform,Nintendo,0.82,0.36,0.25,0.06,1.49,banjotooie,1.49,0.5503355704697986,0.24161073825503354,0.16778523489932887,0.040268456375838924,North America,0.5503355704697986,Normal
1274,Buzz! The BIG Quiz,PS2,2006.0,Misc,Sony Computer Entertainment,0.0,1.1,0.0,0.39,1.49,buzz the big quiz,1.4900000000000002,0.0,0.7382550335570469,0.0,0.261744966442953,Europe,0.7382550335570469,Normal
1275,007: Quantum of Solace,X360,2008.0,Action,Activision,0.82,0.52,0.01,0.14,1.49,007 quantum of solace,1.4899999999999998,0.5503355704697988,0.3489932885906041,0.006711409395973156,0.09395973154362418,North America,0.5503355704697988,Normal
1276,The Sims 3,WII,2010.0,Simulation,Electronic Arts,0.61,0.73,0.0,0.15,1.49,the sims 3,1.4899999999999998,0.4093959731543625,0.48993288590604034,0.0,0.10067114093959732,Europe,0.48993288590604034,Normal
1277,New Play Control! Mario Power Tennis,WII,2009.0,Sports,Nintendo,0.37,0.69,0.28,0.14,1.48,new play control mario power tennis,1.48,0.25,0.4662162162162162,0.1891891891891892,0.0945945945945946,Europe,0.4662162162162162,Normal
1278,Bratz: Forever Diamondz,DS,2006.0,Adventure,THQ,0.43,0.88,0.0,0.18,1.48,bratz forever diamondz,1.49,0.2885906040268456,0.5906040268456376,0.0,0.12080536912751677,Europe,0.5906040268456376,Normal
1279,Dirge of Cerberus: Final Fantasy VII,PS2,2006.0,Shooter,Square Enix,0.47,0.37,0.52,0.12,1.48,dirge of cerberus final fantasy vii,1.48,0.31756756756756754,0.25,0.35135135135135137,0.08108108108108109,Japan,0.35135135135135137,Normal
1280,Nintendo World Cup,NES,1990.0,Sports,Nintendo,0.28,0.5,0.65,0.05,1.48,nintendo world cup,1.4800000000000002,0.18918918918918917,0.3378378378378378,0.43918918918918914,0.03378378378378378,Japan,0.43918918918918914,Normal
1281,WWF WrestleMania 2000,N64,1999.0,Fighting,THQ,1.2,0.25,0.02,0.02,1.48,wwf wrestlemania 2000,1.49,0.8053691275167785,0.16778523489932887,0.013422818791946308,0.013422818791946308,North America,0.8053691275167785,Regionally Concentrated
1282,Wario Land II,GB,1997.0,Platform,Nintendo,0.7,0.35,0.39,0.04,1.48,wario land ii,1.48,0.47297297297297297,0.23648648648648649,0.26351351351351354,0.02702702702702703,North America,0.47297297297297297,Normal
1283,Mass Effect 2,PS3,2011.0,Role-Playing,Electronic Arts,0.78,0.47,0.03,0.2,1.48,mass effect 2,1.48,0.5270270270270271,0.31756756756756754,0.02027027027027027,0.13513513513513514,North America,0.5270270270270271,Normal
1284,Major League Baseball 2K5,PS2,2005.0,Sports,Take-Two Interactive,0.72,0.56,0.0,0.19,1.48,major league baseball 2k5,1.47,0.4897959183673469,0.380952380952381,0.0,0.1292517006802721,North America,0.4897959183673469,Normal
1285,Fight Night 2004,PS2,2004.0,Fighting,Electronic Arts,1.08,0.2,0.0,0.2,1.48,fight night 2004,1.48,0.7297297297297298,0.13513513513513514,0.0,0.13513513513513514,North America,0.7297297297297298,Normal
1286,Tom Clancy's Splinter Cell: Pandora Tomorrow,XB,2004.0,Action,Ubisoft,0.82,0.59,0.0,0.07,1.48,tom clancys splinter cell pandora tomorrow,1.48,0.5540540540540541,0.39864864864864863,0.0,0.0472972972972973,North America,0.5540540540540541,Normal
1287,Imagine: Master Chef,DS,2007.0,Simulation,Ubisoft,0.39,0.92,0.0,0.17,1.47,imagine master chef,1.48,0.26351351351351354,0.6216216216216216,0.0,0.11486486486486487,Europe,0.6216216216216216,Normal
1288,Assassin's Creed III: Liberation,PSV,2012.0,Action,Ubisoft,0.58,0.55,0.06,0.28,1.47,assassins creed iii liberation,1.47,0.3945578231292517,0.3741496598639456,0.04081632653061224,0.1904761904761905,North America,0.3945578231292517,Normal
1289,SoulCalibur IV,PS3,2008.0,Fighting,Ubisoft,0.72,0.41,0.14,0.2,1.47,soulcalibur iv,1.47,0.4897959183673469,0.2789115646258503,0.09523809523809525,0.1360544217687075,North America,0.4897959183673469,Normal
1290,Mario Golf,N64,1999.0,Action,Nintendo,0.62,0.18,0.65,0.02,1.47,mario golf,1.4700000000000002,0.42176870748299317,0.12244897959183672,0.44217687074829926,0.013605442176870746,Japan,0.44217687074829926,Normal
1291,Disney Princess,GBA,2003.0,Platform,THQ,1.04,0.37,0.0,0.06,1.47,disney princess,1.4700000000000002,0.7074829931972788,0.2517006802721088,0.0,0.040816326530612235,North America,0.7074829931972788,Normal
1292,Fight Night Round 3,X360,2006.0,Fighting,Electronic Arts,1.33,0.03,0.01,0.1,1.47,fight night round 3,1.4700000000000002,0.9047619047619047,0.020408163265306117,0.006802721088435373,0.06802721088435373,North America,0.9047619047619047,Regionally Concentrated
1293,Metal Gear Rising: Revengeance,PS3,2013.0,Action,Konami Digital Entertainment,0.45,0.4,0.44,0.18,1.47,metal gear rising revengeance,1.47,0.30612244897959184,0.272108843537415,0.29931972789115646,0.12244897959183673,North America,0.30612244897959184,Normal
1294,Chrono Trigger,DS,2008.0,Role-Playing,Square Enix,0.69,0.2,0.49,0.09,1.47,chrono trigger,1.47,0.4693877551020408,0.1360544217687075,0.3333333333333333,0.061224489795918366,North America,0.4693877551020408,Normal
1295,Star Wars: The Force Unleashed II,X360,2010.0,Action,LucasArts,0.95,0.4,0.0,0.12,1.47,star wars the force unleashed ii,1.4700000000000002,0.6462585034013604,0.27210884353741494,0.0,0.08163265306122447,North America,0.6462585034013604,Normal
1296,The House of the Dead 2 & 3 Return,WII,2008.0,Shooter,Sega,0.78,0.5,0.03,0.15,1.47,the house of the dead 2 3 return,1.46,0.5342465753424658,0.3424657534246575,0.02054794520547945,0.10273972602739725,North America,0.5342465753424658,Normal
1297,Disney Princess: Magical Jewels,DS,2007.0,Adventure,Disney Interactive Studios,1.15,0.2,0.0,0.12,1.47,disney princess magical jewels,1.4699999999999998,0.7823129251700681,0.13605442176870752,0.0,0.0816326530612245,North America,0.7823129251700681,Regionally Concentrated
1298,LittleBigPlanet PS Vita,PSV,2012.0,Platform,Sony Computer Entertainment,0.4,0.72,0.02,0.33,1.47,littlebigplanet ps vita,1.4700000000000002,0.27210884353741494,0.48979591836734687,0.013605442176870746,0.22448979591836732,Europe,0.48979591836734687,Normal
1299,Xenogears,PS,1998.0,Role-Playing,SquareSoft,0.29,0.19,0.89,0.1,1.46,xenogears,1.4700000000000002,0.19727891156462582,0.12925170068027209,0.6054421768707482,0.06802721088435373,Japan,0.6054421768707482,Normal
1300,The SpongeBob SquarePants Movie,GBA,2004.0,Platform,THQ,1.02,0.38,0.0,0.06,1.46,the spongebob squarepants movie,1.46,0.6986301369863014,0.2602739726027397,0.0,0.0410958904109589,North America,0.6986301369863014,Normal
1301,Tom Clancy's Ghost Recon: Future Soldier,X360,2012.0,Shooter,Ubisoft,0.93,0.4,0.02,0.12,1.46,tom clancys ghost recon future soldier,1.4700000000000002,0.6326530612244897,0.27210884353741494,0.013605442176870746,0.08163265306122447,North America,0.6326530612244897,Normal
1302,Battlefield: Bad Company,X360,2008.0,Shooter,Electronic Arts,0.81,0.46,0.04,0.15,1.46,battlefield bad company,1.46,0.5547945205479452,0.31506849315068497,0.027397260273972605,0.10273972602739725,North America,0.5547945205479452,Normal
1303,Midway Arcade Treasures,PS2,2003.0,Misc,Midway Games,0.72,0.56,0.0,0.19,1.46,midway arcade treasures,1.47,0.4897959183673469,0.380952380952381,0.0,0.1292517006802721,North America,0.4897959183673469,Normal
1304,Wall-E,DS,2008.0,Platform,THQ,0.46,0.83,0.0,0.17,1.46,walle,1.46,0.31506849315068497,0.5684931506849314,0.0,0.11643835616438357,Europe,0.5684931506849314,Normal
1305,Triple Play 99,PS,,Sports,Unknown,0.81,0.55,0.0,0.1,1.46,triple play 99,1.4600000000000002,0.5547945205479452,0.3767123287671233,0.0,0.0684931506849315,North America,0.5547945205479452,Normal
1306,Homefront,X360,2011.0,Shooter,THQ,0.83,0.48,0.02,0.12,1.46,homefront,1.4500000000000002,0.5724137931034482,0.33103448275862063,0.01379310344827586,0.08275862068965516,North America,0.5724137931034482,Normal
1307,Super Monkey Ball,GC,2001.0,Puzzle,Atari,0.95,0.37,0.1,0.04,1.46,super monkey ball,1.46,0.6506849315068493,0.2534246575342466,0.06849315068493152,0.027397260273972605,North America,0.6506849315068493,Normal
1308,Donkey Kong,2600,1981.0,Platform,Coleco,1.36,0.08,0.0,0.02,1.46,donkey kong,1.4600000000000002,0.9315068493150684,0.0547945205479452,0.0,0.0136986301369863,North America,0.9315068493150684,Regionally Concentrated
1309,Mortal Kombat 4,PS,1998.0,Fighting,GT Interactive,0.81,0.55,0.0,0.1,1.46,mortal kombat 4,1.4600000000000002,0.5547945205479452,0.3767123287671233,0.0,0.0684931506849315,North America,0.5547945205479452,Normal
1310,Mario Superstar Baseball,GC,2005.0,Sports,Nintendo,0.93,0.24,0.25,0.04,1.46,mario superstar baseball,1.46,0.6369863013698631,0.1643835616438356,0.17123287671232876,0.027397260273972605,North America,0.6369863013698631,Normal
1311,Mass Effect 3,PS3,2012.0,Role-Playing,Electronic Arts,0.63,0.59,0.03,0.21,1.46,mass effect 3,1.46,0.4315068493150685,0.4041095890410959,0.02054794520547945,0.14383561643835616,North America,0.4315068493150685,Normal
1312,LEGO Batman 2: DC Super Heroes,WII,2012.0,Action,Warner Bros. Interactive Entertainment,0.94,0.4,0.0,0.11,1.46,lego batman 2 dc super heroes,1.45,0.6482758620689655,0.27586206896551724,0.0,0.07586206896551724,North America,0.6482758620689655,Normal
1313,Medal of Honor: Warfighter,PS3,2012.0,Action,Electronic Arts,0.47,0.65,0.06,0.28,1.46,medal of honor warfighter,1.4600000000000002,0.32191780821917804,0.44520547945205474,0.041095890410958895,0.1917808219178082,Europe,0.44520547945205474,Normal
1314,WCW vs the World,PS,1998.0,Fighting,THQ,1.17,0.2,0.04,0.05,1.46,wcw vs the world,1.46,0.8013698630136986,0.13698630136986303,0.027397260273972605,0.03424657534246576,North America,0.8013698630136986,Regionally Concentrated
1315,SNK vs. Capcom: The Match of the Millennium,PSP,2006.0,Fighting,Sega,0.53,0.58,0.0,0.35,1.46,snk vs capcom the match of the millennium,1.46,0.363013698630137,0.3972602739726027,0.0,0.23972602739726026,Europe,0.3972602739726027,Normal
1316,LEGO City Undercover,3DS,2013.0,Platform,Nintendo,0.51,0.75,0.07,0.12,1.46,lego city undercover,1.4500000000000002,0.35172413793103446,0.5172413793103448,0.04827586206896552,0.08275862068965516,Europe,0.5172413793103448,Normal
1317,Onimusha 3: Demon Siege,PS2,2004.0,Action,Capcom,0.37,0.47,0.54,0.07,1.45,onimusha 3 demon siege,1.45,0.25517241379310346,0.32413793103448274,0.3724137931034483,0.048275862068965524,Japan,0.3724137931034483,Normal
1318,Diablo III,X360,2013.0,Role-Playing,Activision,0.89,0.44,0.0,0.12,1.45,diablo iii,1.4500000000000002,0.6137931034482758,0.3034482758620689,0.0,0.08275862068965516,North America,0.6137931034482758,Normal
1319,Batman: Arkham Knight,XONE,2015.0,Action,Warner Bros. Interactive Entertainment,0.86,0.46,0.0,0.13,1.45,batman arkham knight,1.4500000000000002,0.593103448275862,0.3172413793103448,0.0,0.0896551724137931,North America,0.593103448275862,Normal
1320,BioShock,PS3,2008.0,Shooter,Take-Two Interactive,0.75,0.49,0.01,0.21,1.45,bioshock,1.46,0.5136986301369864,0.3356164383561644,0.006849315068493151,0.14383561643835616,North America,0.5136986301369864,Normal
1321,Red Dead Revolver,PS2,2004.0,Shooter,Take-Two Interactive,0.71,0.55,0.0,0.19,1.45,red dead revolver,1.45,0.4896551724137931,0.37931034482758624,0.0,0.1310344827586207,North America,0.4896551724137931,Normal
1322,Anno 2070,PC,2011.0,Strategy,Ubisoft,0.0,1.13,0.0,0.32,1.45,anno 2070,1.45,0.0,0.7793103448275862,0.0,0.22068965517241382,Europe,0.7793103448275862,Regionally Concentrated
1323,Resident Evil: Outbreak,PS2,2003.0,Action,Capcom,0.54,0.35,0.46,0.1,1.45,resident evil outbreak,1.4500000000000002,0.37241379310344824,0.24137931034482754,0.3172413793103448,0.06896551724137931,North America,0.37241379310344824,Normal
1324,Smarty Pants,WII,2007.0,Misc,Electronic Arts,0.53,0.76,0.0,0.16,1.45,smarty pants,1.45,0.36551724137931035,0.5241379310344828,0.0,0.11034482758620691,Europe,0.5241379310344828,Normal
1325,Tamagotchi,GB,1996.0,Simulation,Namco Bandai Games,0.0,0.0,1.44,0.01,1.45,tamagotchi,1.45,0.0,0.0,0.993103448275862,0.006896551724137932,Japan,0.993103448275862,Regionally Concentrated
1326,4 Nin uchi Mahjong,NES,1984.0,Misc,Nintendo,0.0,0.0,1.45,0.0,1.45,4 nin uchi mahjong,1.45,0.0,0.0,1.0,0.0,Japan,1.0,Regionally Concentrated
1327,Dragon Ball Z,SNES,1993.0,Fighting,Namco Bandai Games,0.0,0.0,1.45,0.0,1.45,dragon ball z,1.45,0.0,0.0,1.0,0.0,Japan,1.0,Regionally Concentrated
1328,Game de Hakken!! Tamagotchi 2,GB,1997.0,Simulation,Namco Bandai Games,0.0,0.0,1.44,0.01,1.45,game de hakken tamagotchi 2,1.45,0.0,0.0,0.993103448275862,0.006896551724137932,Japan,0.993103448275862,Regionally Concentrated
1329,Namco Museum 64,N64,1999.0,Misc,Namco Bandai Games,1.24,0.17,0.03,0.01,1.45,namco museum 64,1.45,0.8551724137931035,0.11724137931034484,0.020689655172413793,0.006896551724137932,North America,0.8551724137931035,Regionally Concentrated
1330,Hasbro Family Game Night,WII,2008.0,Puzzle,Electronic Arts,0.97,0.34,0.0,0.13,1.45,hasbro family game night,1.44,0.6736111111111112,0.23611111111111113,0.0,0.09027777777777779,North America,0.6736111111111112,Normal
1331,Dragon Quest Monsters: Joker 2,DS,2010.0,Role-Playing,Square Enix,0.11,0.08,1.24,0.02,1.45,dragon quest monsters joker 2,1.45,0.07586206896551724,0.055172413793103454,0.8551724137931035,0.013793103448275864,Japan,0.8551724137931035,Regionally Concentrated
1332,Tony Hawk's American Wasteland (Weekly american sales),PS2,2005.0,Sports,Activision,1.38,0.05,0.0,0.02,1.45,tony hawks american wasteland weekly american sales,1.45,0.9517241379310344,0.034482758620689655,0.0,0.013793103448275864,North America,0.9517241379310344,Regionally Concentrated
1333,My Word Coach,DS,2007.0,Misc,Ubisoft,0.37,0.9,0.0,0.18,1.45,my word coach,1.45,0.25517241379310346,0.6206896551724138,0.0,0.12413793103448276,Europe,0.6206896551724138,Normal
1334,Hello Kitty Party,DS,2007.0,Misc,Rising Star Games,0.79,0.53,0.0,0.13,1.44,hello kitty party,1.4500000000000002,0.5448275862068965,0.3655172413793103,0.0,0.0896551724137931,North America,0.5448275862068965,Normal
1335,SingStar Pop,PS2,2007.0,Misc,Sony Computer Entertainment,0.04,1.08,0.0,0.32,1.44,singstar pop,1.4400000000000002,0.027777777777777776,0.75,0.0,0.2222222222222222,Europe,0.75,Regionally Concentrated
1336,Sonic Rivals,PSP,2006.0,Racing,Sega,0.73,0.42,0.0,0.28,1.44,sonic rivals,1.43,0.5104895104895105,0.2937062937062937,0.0,0.19580419580419584,North America,0.5104895104895105,Normal
1337,SimCity (2013),PC,2013.0,Simulation,Electronic Arts,0.48,0.77,0.0,0.19,1.44,simcity 2013,1.44,0.3333333333333333,0.5347222222222222,0.0,0.13194444444444445,Europe,0.5347222222222222,Normal
1338,Kirby Super Star,SNES,1996.0,Platform,Nintendo,0.26,0.07,1.09,0.02,1.44,kirby super star,1.4400000000000002,0.18055555555555555,0.04861111111111111,0.7569444444444444,0.013888888888888888,Japan,0.7569444444444444,Regionally Concentrated
1339,Far Cry 4,PS3,2014.0,Shooter,Ubisoft,0.33,0.79,0.08,0.23,1.44,far cry 4,1.4300000000000002,0.23076923076923075,0.5524475524475524,0.05594405594405594,0.16083916083916083,Europe,0.5524475524475524,Normal
1340,WWE SmackDown vs Raw 2008,X360,2007.0,Fighting,THQ,0.92,0.38,0.0,0.13,1.44,wwe smackdown vs raw 2008,1.4300000000000002,0.6433566433566433,0.26573426573426573,0.0,0.0909090909090909,North America,0.6433566433566433,Normal
1341,Kinect Joy Ride,X360,2010.0,Racing,Microsoft Game Studios,0.92,0.4,0.0,0.12,1.44,kinect joy ride,1.44,0.638888888888889,0.2777777777777778,0.0,0.08333333333333333,North America,0.638888888888889,Normal
1342,Rayman Raving Rabbids,WII,2006.0,Misc,Ubisoft,1.23,0.07,0.02,0.11,1.44,rayman raving rabbids,1.4300000000000002,0.86013986013986,0.04895104895104895,0.013986013986013984,0.07692307692307691,North America,0.86013986013986,Regionally Concentrated
1343,Need for Speed Rivals,PS3,2013.0,Racing,Electronic Arts,0.33,0.74,0.05,0.31,1.44,need for speed rivals,1.4300000000000002,0.23076923076923075,0.5174825174825174,0.03496503496503496,0.21678321678321677,Europe,0.5174825174825174,Normal
1344,Tiger Woods PGA Tour 2005,PS2,2004.0,Sports,Electronic Arts,1.03,0.32,0.0,0.09,1.44,tiger woods pga tour 2005,1.4400000000000002,0.7152777777777777,0.2222222222222222,0.0,0.06249999999999999,North America,0.7152777777777777,Normal
1345,Dead Space 2,PS3,2011.0,Shooter,Electronic Arts,0.73,0.5,0.0,0.21,1.44,dead space 2,1.44,0.5069444444444444,0.3472222222222222,0.0,0.14583333333333334,North America,0.5069444444444444,Normal
1346,NCAA Football 2003,PS2,2002.0,Sports,Electronic Arts,1.16,0.08,0.0,0.19,1.44,ncaa football 2003,1.43,0.8111888111888111,0.05594405594405595,0.0,0.13286713286713286,North America,0.8111888111888111,Regionally Concentrated
1347,Frogger 2: Swampy's Revenge,PS,1999.0,Action,Hasbro Interactive,0.8,0.54,0.0,0.09,1.43,frogger 2 swampys revenge,1.4300000000000002,0.5594405594405594,0.3776223776223776,0.0,0.06293706293706293,North America,0.5594405594405594,Normal
1348,Disney Infinity,X360,2013.0,Action,Disney Interactive Studios,0.96,0.37,0.0,0.11,1.43,disney infinity,1.4400000000000002,0.6666666666666665,0.2569444444444444,0.0,0.07638888888888888,North America,0.6666666666666665,Normal
1349,LEGO Indiana Jones 2: The Adventure Continues,WII,2009.0,Action,Activision,0.91,0.39,0.0,0.13,1.43,lego indiana jones 2 the adventure continues,1.4300000000000002,0.6363636363636364,0.2727272727272727,0.0,0.0909090909090909,North America,0.6363636363636364,Normal
1350,Sonic's Ultimate Genesis Collection,X360,2009.0,Misc,Sega,0.85,0.46,0.0,0.13,1.43,sonics ultimate genesis collection,1.44,0.5902777777777778,0.3194444444444445,0.0,0.09027777777777779,North America,0.5902777777777778,Normal
1351,Tiger Woods PGA Tour 09 All-Play,WII,2008.0,Sports,Electronic Arts,0.81,0.48,0.0,0.14,1.43,tiger woods pga tour 09 allplay,1.4300000000000002,0.5664335664335665,0.3356643356643356,0.0,0.0979020979020979,North America,0.5664335664335665,Normal
1352,Disney's DuckTales,GB,1988.0,Platform,Capcom,0.82,0.23,0.35,0.03,1.43,disneys ducktales,1.43,0.5734265734265734,0.16083916083916086,0.24475524475524474,0.02097902097902098,North America,0.5734265734265734,Normal
1353,Classic NES Series: Super Mario Bros.,GBA,2004.0,Platform,Nintendo,0.0,0.0,1.39,0.03,1.43,classic nes series super mario bros,1.42,0.0,0.0,0.9788732394366197,0.02112676056338028,Japan,0.9788732394366197,Regionally Concentrated
1354,Triple Play 2000,PS,1999.0,Sports,Electronic Arts,0.79,0.54,0.0,0.09,1.43,triple play 2000,1.4200000000000002,0.556338028169014,0.38028169014084506,0.0,0.06338028169014083,North America,0.556338028169014,Normal
1355,Dragon Quest VII: Warriors of Eden,3DS,2013.0,Role-Playing,Square Enix,0.07,0.04,1.3,0.01,1.42,dragon quest vii warriors of eden,1.4200000000000002,0.04929577464788732,0.02816901408450704,0.9154929577464788,0.00704225352112676,Japan,0.9154929577464788,Regionally Concentrated
1356,Cabela's Big Game Hunter,PS2,2002.0,Sports,Activision,0.7,0.54,0.0,0.18,1.42,cabelas big game hunter,1.42,0.49295774647887325,0.3802816901408451,0.0,0.1267605633802817,North America,0.49295774647887325,Normal
1357,UFC Undisputed 2010,PS3,2010.0,Fighting,THQ,0.8,0.41,0.02,0.19,1.42,ufc undisputed 2010,1.42,0.5633802816901409,0.2887323943661972,0.014084507042253521,0.13380281690140847,North America,0.5633802816901409,Normal
1358,NBA Live 06 (Weekly american sales),PS2,2005.0,Sports,Electronic Arts,1.35,0.05,0.0,0.02,1.42,nba live 06 weekly american sales,1.4200000000000002,0.9507042253521126,0.035211267605633804,0.0,0.01408450704225352,North America,0.9507042253521126,Regionally Concentrated
1359,The Legend of Zelda: The Minish Cap,GBA,2004.0,Action,Nintendo,0.89,0.22,0.22,0.1,1.42,the legend of zelda the minish cap,1.4300000000000002,0.6223776223776223,0.15384615384615383,0.15384615384615383,0.06993006993006992,North America,0.6223776223776223,Normal
1360,NFL Street,PS2,2004.0,Sports,Electronic Arts,1.15,0.08,0.0,0.19,1.42,nfl street,1.42,0.8098591549295775,0.056338028169014086,0.0,0.13380281690140847,North America,0.8098591549295775,Regionally Concentrated
1361,Sonic Generations,X360,2011.0,Platform,Sega,0.71,0.57,0.0,0.14,1.42,sonic generations,1.42,0.5,0.4014084507042253,0.0,0.09859154929577466,North America,0.5,Normal
1362,Super Metroid,SNES,1994.0,Action,Nintendo,0.57,0.12,0.71,0.02,1.42,super metroid,1.42,0.4014084507042253,0.08450704225352113,0.5,0.014084507042253521,Japan,0.5,Normal
1363,Pro Yakyuu Family Stadium '87,NES,1987.0,Sports,Namco Bandai Games,0.12,0.0,1.3,0.0,1.42,pro yakyuu family stadium 87,1.42,0.08450704225352113,0.0,0.915492957746479,0.0,Japan,0.915492957746479,Regionally Concentrated
1364,Dead Space,X360,2008.0,Action,Electronic Arts,0.89,0.4,0.0,0.13,1.42,dead space,1.42,0.6267605633802817,0.28169014084507044,0.0,0.09154929577464789,North America,0.6267605633802817,Normal
1365,Resident Evil (Remake),GC,2002.0,Action,Capcom,0.63,0.38,0.35,0.05,1.42,resident evil remake,1.41,0.4468085106382979,0.2695035460992908,0.24822695035460993,0.03546099290780142,North America,0.4468085106382979,Normal
1366,Inazuma Eleven 2,DS,2009.0,Role-Playing,Nintendo,0.0,0.21,1.18,0.03,1.42,inazuma eleven 2,1.42,0.0,0.14788732394366197,0.8309859154929577,0.02112676056338028,Japan,0.8309859154929577,Regionally Concentrated
1367,Tomb Raider (2013),PS4,2014.0,Action,Square Enix,0.47,0.64,0.06,0.25,1.41,tomb raider 2013,1.42,0.33098591549295775,0.4507042253521127,0.04225352112676056,0.17605633802816903,Europe,0.4507042253521127,Normal
1368,LEGO Star Wars II: The Original Trilogy,PSP,2006.0,Action,LucasArts,0.58,0.51,0.0,0.32,1.41,lego star wars ii the original trilogy,1.41,0.41134751773049644,0.3617021276595745,0.0,0.2269503546099291,North America,0.41134751773049644,Normal
1369,Toy Story 3: The Video Game,WII,2010.0,Action,Disney Interactive Studios,0.64,0.63,0.0,0.14,1.41,toy story 3 the video game,1.4100000000000001,0.45390070921985815,0.44680851063829785,0.0,0.09929078014184398,North America,0.45390070921985815,Normal
1370,Fight Night Round 4,X360,2009.0,Fighting,Electronic Arts,0.95,0.34,0.0,0.13,1.41,fight night round 4,1.42,0.6690140845070423,0.2394366197183099,0.0,0.09154929577464789,North America,0.6690140845070423,Normal
1371,LEGO Star Wars: The Video Game,GC,2005.0,Action,Eidos Interactive,1.09,0.28,0.0,0.04,1.41,lego star wars the video game,1.4100000000000001,0.7730496453900709,0.19858156028368795,0.0,0.028368794326241134,North America,0.7730496453900709,Regionally Concentrated
1372,Injustice: Gods Among Us,X360,2013.0,Fighting,Warner Bros. Interactive Entertainment,0.97,0.34,0.0,0.11,1.41,injustice gods among us,1.4200000000000002,0.6830985915492956,0.23943661971830985,0.0,0.07746478873239436,North America,0.6830985915492956,Normal
1373,Madden NFL 15,PS3,2014.0,Sports,Electronic Arts,1.07,0.15,0.0,0.19,1.41,madden nfl 15,1.41,0.7588652482269505,0.10638297872340426,0.0,0.1347517730496454,North America,0.7588652482269505,Regionally Concentrated
1374,Disney's The Lion King,GEN,1994.0,Platform,Virgin Interactive,0.97,0.37,0.03,0.05,1.41,disneys the lion king,1.42,0.6830985915492958,0.2605633802816901,0.02112676056338028,0.035211267605633804,North America,0.6830985915492958,Normal
